,미세먼지_pre,평균상대습도(%)_pre,월합강수량(00~24h만)(mm)_pre,일최다강수량(mm)_pre,15 - 19(남)_pre,80 - 84세(남)_pre,85 - 89세(남)_pre,95 - 99세_pre,80 - 84세(여)_pre,85 - 89세(여)_pre,90 - 94세(여)_pre,95 - 99세(여)_pre,홍역_pre,대표질환감염자수_pre,대표질환감염자수
2021-01-01,39.63896925420944,0.0007548817149552328,-0.06768600721204265,-0.05513276127209954,-0.023921757394466656,-0.027908311814045905,-0.030991916146074522,-0.028396924988614278,-0.02258556729253744,-0.02203256513089588,-0.017229298513049926,-0.010964041069259675,-0.01866532356704148,-0.23272367568784041,363.4981076956996
2022-01-01,41.11971938297696,-0.005864487853360648,0.19885687955386278,0.1711194495701358,-0.018475184357037544,-0.020126267358339514,-0.02331135579594143,-0.02665739487289577,-0.014160805007722696,-0.013700997428778339,-0.01253554751142516,-0.012838729398695986,0.0040582794611276896,-0.04606257694314769,347.13422274811006
2023-01-01,42.22992995126978,0.002749215863566426,-0.047164137143859364,-0.028833590756257133,0.011715450054650314,0.013275542096836623,0.014890473945033261,0.01828318333716064,0.008883728852567024,0.008675177775014017,0.008891261124302344,0.009587951171658615,0.03462846981514192,0.1950736952858386,421.90712611294816
2024-01-01,42.77743042189408,-0.0030711387252426448,-0.06530778805707493,-0.08033447286440776,-0.013025236494838638,-0.011712933408981663,-0.01141864233364083,-0.01471314393265323,-0.01233864592423363,-0.012316811520909465,-0.01311948717937246,-0.01340349463229179,0.009319472682579072,0.11109424702313062,471.48130750000263
2025-01-01,42.16081367404288,0.0031053194910306142,-0.014806278764256886,-0.011594222023915801,-0.0167370883606522,-0.016698840465602036,-0.017241813677988604,-0.017758124761637753,-0.01572625740296206,-0.015485171053396557,-0.014271740965875856,-0.012488390599745144,-0.023806818165793803,-0.027827600406875652,458.5419842148394
2026-01-01,41.59979995878014,0.001078188849836223,0.046524206845289795,0.045240748771147254,-0.020690479600701014,-0.021681092415413397,-0.023246539018776463,-0.023509062177053605,-0.018751806929776724,-0.018244225602715464,-0.016197142626137806,-0.01372075599862943,-0.005269664796095419,-0.09341731842850595,417.646147822803
2027-01-01,41.36967094838159,0.004005882133590891,0.06003653868401737,0.04939252051142007,-0.014386026915805553,-0.015152582397938444,-0.016459859523101722,-0.01636201481618646,-0.012902928952976608,-0.01258288312230775,-0.010752181772532912,-0.008772359500435797,-0.0013933951742228223,-0.04561654820833155,399.02257310720915
2028-01-01,41.54419134147401,0.0007532134436324944,0.013103406477793955,0.011236762182105453,-0.010619522571314793,-0.010567111351255223,-0.011206800112750437,-0.011705353811248473,-0.00965076221853918,-0.009479645402331913,-0.008615171989639292,-0.007514090584506694,0.007465018754619135,0.02495246952667196,409.1044322479599
2029-01-01,41.68178374054738,0.001170681259006906,-0.007036060231625507,-0.008355165434158707,-0.010144473899943371,-0.009775522728288993,-0.0100907238026086,-0.010773762757164518,-0.009487598808307712,-0.009363195878739919,-0.008776914157450952,-0.007868051374509674,0.0005518009680184899,0.04109318595599365,426.2660342827281
2030-01-01,41.65257316659111,0.0007790686114267087,-0.006781935579854181,-0.0055667103808429985,-0.013201779815056922,-0.01311720661012998,-0.013660168268540995,-0.014356833882284259,-0.012315383127292134,-0.012110380868335047,-0.01122948762027215,-0.009951460105442095,-0.002483001843622046,0.009475811798289074,430.3244490193319
2031-01-01,41.523722431089396,0.0008442681983339695,0.009329638793407202,0.006172799789633254,-0.01482148152115162,-0.015119074237383553,-0.01595811105707856,-0.01641826326143664,-0.01370562081016477,-0.013410040640728801,-0.012147727347337559,-0.01046355097263918,-0.004037303761195543,-0.019315088864931163,422.0924508599578
2032-01-01,41.48799734316809,0.0006198249705392095,0.0145592489653259,0.0128606925081447,-0.014339916293190744,-0.014726903718394177,-0.015650918861344176,-0.016008828114528306,-0.013167394253630435,-0.012867856787625129,-0.011537175925124696,-0.009843984262102978,-0.001006633184784389,-0.01916767266751568,414.07896619639314
2033-01-01,41.55540850111758,0.0005434963226042949,0.011621028579023696,0.009339114025573192,-0.012916486404355401,-0.013123385522700523,-0.01390413988112299,-0.014299494834588866,-0.011887600023098133,-0.011634455155853596,-0.01048157412577673,-0.00898735581447338,0.0010845149703785362,-0.0017633957145629653,413.34942454626787
2034-01-01,41.64940766554475,0.0006127268088780141,0.005451877875570332,0.0032583731311324193,-0.012437953499517068,-0.012501834980816709,-0.013158908037814235,-0.013658535801521154,-0.01151194039845653,-0.011291114652427006,-0.010280143757510324,-0.00892693169203844,0.0010121589924279029,0.00860183410390497,416.9203238468481
2035-01-01,41.68639633350921,0.0006189613792314808,0.0039050447682453804,0.0018922326984622817,-0.012929806766808674,-0.012990709648809731,-0.01364276003197644,-0.014166555228917063,-0.01198993737902393,-0.01175851425153819,-0.010738189360316994,-0.00934471248276357,-0.0003396339740994736,0.0051823791914913375,419.0865713674489
2036-01-01,41.66861223729994,0.0008086854362432255,0.007410791942111139,0.005345991920338022,-0.013574513915808759,-0.013721020006210727,-0.014454481320745047,-0.014953413355454151,-0.012549020895847612,-0.012297510428838837,-0.011181677336870366,-0.009694491258115417,-0.0011833882450653643,-0.003442121180017327,417.6465044681212
2037-01-01,41.63737432932135,0.0009271395546991135,0.01125142903690568,0.008831526463792372,-0.013674843546886237,-0.013871266937044796,-0.014653804207041266,-0.015113813929055711,-0.012605117400714988,-0.012346252583657624,-0.011178061450461671,-0.009652339786431485,-0.0009700743459679084,-0.00686074586180796,414.7909447764464
2038-01-01,41.62637710802805,0.0009612453715757419,0.011562863747609509,0.00894887068135275,-0.013364738579845187,-0.013541029176714042,-0.014308799134602257,-0.014761997327385132,-0.012311987685533404,-0.012061046895272973,-0.010916074282550259,-0.009425163261712846,-0.00039406470922503933,-0.004011118578118228,413.1305014555933
2039-01-01,41.631667008365646,0.0009251663098636398,0.009663157620340757,0.007355570795550381,-0.013102644738740218,-0.01323362000183112,-0.013962415655325022,-0.014436741689918167,-0.01208455658463399,-0.011843899067914068,-0.010747325462136914,-0.009305108786911251,-0.00018519018610813065,-0.00013312590429065407,413.0755067446885
2040-01-01,41.634803856755475,0.0009058996901459004,0.008220780434967878,0.006070220237429869,-0.013112118458694422,-0.013225464541612678,-0.013938273343146526,-0.0144306299141857,-0.012106646166961013,-0.011868492481530268,-0.010789521706185523,-0.009358880450729162,-0.0004225124041097872,0.0006563198397669112,413.3467053818748
2041-01-01,41.627787257480094,0.0008920983474907523,0.008302927472497501,0.006165404082877357,-0.013268164201857544,-0.013398681984854263,-0.014123562542987328,-0.014614304547600362,-0.012251811131143403,-0.012008681401551508,-0.010913123705420663,-0.009460845441792667,-0.0007021926559805935,-0.0011058301664272907,412.889866765386
2042-01-01,41.61797319837665,0.0008715636564581714,0.008929136166079932,0.0067547203163866865,-0.013356780601727514,-0.013508670078847942,-0.014250267365093647,-0.014728014507183543,-0.012327623301486318,-0.012079557478125752,-0.010963434394969523,-0.009489567855394898,-0.0007277727179720306,-0.0026499416429219547,411.797181129509
2043-01-01,41.61449785028776,0.0008523340082013942,0.009218898735071202,0.007033787394165492,-0.013321269025401816,-0.013477965083831644,-0.014223197672162735,-0.014694755805005802,-0.012291418107256105,-0.012043090498761636,-0.01092367060010567,-0.009448738646839289,-0.0005675626460182048,-0.0025757896903753075,410.73784309751915
2044-01-01,41.618448447566195,0.0008354841822207082,0.008928905381770491,0.006737836681039333,-0.013244833389653057,-0.013392688180490872,-0.014130056019388729,-0.014603788071812604,-0.012223625715140934,-0.011977705979928588,-0.010867884216322454,-0.009403560578383971,-0.0004370068335269317,-0.00160671854881958,410.078432871491
